epoch, iteration, loss, time, lr 
1, 10, 2.30243701935, 25.267706871, 0.0009999
1, 20, 2.30341081619, 24.7062189579, 0.0009999
1, 30, 2.30338692665, 24.8261039257, 0.0009999
1, 40, 2.30267109871, 24.9907989502, 0.0009999
1, 50, 2.30191640854, 25.0405099392, 0.0009999
1, 60, 2.30235667229, 24.9372749329, 0.0009999
1, 70, 2.30234377384, 24.9037148952, 0.0009999
1, 80, 2.30204954147, 24.9436180592, 0.0009999
1, 90, 2.30239548683, 24.9920098782, 0.0009999
1, 100, 2.30330986977, 24.9350800514, 0.0009999
1, 110, 2.30079214573, 24.8874790668, 0.0009999
1, 120, 2.30168795586, 25.0080668926, 0.0009999
1, 130, 2.2993755579, 24.9885900021, 0.0009999
1, 140, 2.30072185993, 24.995953083, 0.0009999
1, 150, 2.30103609562, 24.9458639622, 0.0009999
1, 160, 2.30025975704, 24.9044620991, 0.0009999
1, 170, 2.29864523411, 24.9796068668, 0.0009999
1, 180, 2.29729247093, 24.997341156, 0.0009999
1, 190, 2.29836652279, 24.9199831486, 0.0009999
1, 200, 2.29753851891, 24.8909769058, 0.0009999
1, 210, 2.29760913849, 24.9922258854, 0.0009999
1, 220, 2.29615271091, 24.984181881, 0.0009999
1, 230, 2.29604272842, 24.9900770187, 0.0009999
1, 240, 2.29523382187, 24.9595689774, 0.0009999
1, 250, 2.29306328297, 24.898059845, 0.0009999
1, 260, 2.29700758457, 24.9717411995, 0.0009999
1, 270, 2.29343619347, 24.9141068459, 0.0009999
1, 280, 2.28541886806, 24.8898050785, 0.0009999
1, 290, 2.29326109886, 24.9707078934, 0.0009999
1, 300, 2.29382531643, 24.9084579945, 0.0009999
1, 310, 2.2895827055, 24.908809185, 0.0009999
1, 320, 2.29205753803, 25.010917902, 0.0009999
1, 330, 2.29607400894, 24.9227628708, 0.0009999
1, 340, 2.27974829674, 24.8810691833, 0.0009999
1, 350, 2.2891450882, 24.9525971413, 0.0009999
1, 360, 2.27993078232, 24.9064350128, 0.0009999
1, 370, 2.28374052048, 24.9083480835, 0.0009999
1, 380, 2.28169474602, 24.9559690952, 0.0009999
1, 390, 2.29019670486, 24.8779730797, 0.0009999
2, 10, 2.28303256035, 25.4957869053, 0.0009998
2, 20, 2.28301990032, 25.0047531128, 0.0009998
