epoch, iteration, loss, train-acc, lr, time
4,30,2.114,34.609,0.0999997,6.77298903
4,40,2.12,33.438,0.0999997,6.77119422
4,50,2.131,32.422,0.0999997,6.77656412
4,60,2.114,33.359,0.0999997,6.78592992
4,70,2.097,36.484,0.0999997,6.779634
4,80,2.107,35,0.0999997,6.80178404
4,90,2.104,35.391,0.0999997,6.78033996
4,100,2.119,33.438,0.0999997,6.79213285
4,110,2.111,34.609,0.0999997,6.77437806
4,120,2.089,36.25,0.0999997,6.79174685
4,130,2.093,36.016,0.0999997,6.7762239
4,140,2.106,34.375,0.0999997,6.77645802
4,150,2.11,34.453,0.0999997,6.78170085
4,160,2.126,32.734,0.0999997,6.78215909
4,170,2.094,35.703,0.0999997,6.76805496
4,180,2.105,34.766,0.0999997,6.78958607
4,190,2.102,36.016,0.0999997,6.77601886
4,200,2.098,36.094,0.0999997,6.7916441
4,210,2.101,35.234,0.0999997,6.81374812
4,220,2.111,34.141,0.0999997,6.78408098
4,230,2.089,37.109,0.0999997,6.76994801
4,240,2.115,33.594,0.0999997,6.79039192
4,250,2.107,35.078,0.0999997,6.79681015
4,260,2.091,36.484,0.0999997,6.78965807
4,270,2.09,36.641,0.0999997,6.79999709
4,280,2.113,33.75,0.0999997,6.797647
4,290,2.114,34.375,0.0999997,6.7739749
4,300,2.092,35.859,0.0999997,6.79827023
4,310,2.103,34.297,0.0999997,6.78390598
4,320,2.096,35.234,0.0999997,6.78909993
4,330,2.11,34.062,0.0999997,6.78758407
4,340,2.09,36.797,0.0999997,6.76662111
4,350,2.087,36.641,0.0999997,6.79326487
4,360,2.082,37.656,0.0999997,6.78380799
4,370,2.071,39.375,0.0999997,6.7793498
4,380,2.065,38.906,0.0999997,6.79572392
4,390,2.094,35.312,0.0999997,6.77389097
5,10,2.052,40.781,0.0999996,7.45930815
5,20,2.085,36.797,0.0999996,6.799371
5,30,2.063,39.688,0.0999996,6.78896785
5,40,2.072,38.359,0.0999996,6.78049016
5,50,2.077,38.594,0.0999996,6.78945899
5,60,2.086,37.031,0.0999996,6.77447701
5,70,2.078,37.891,0.0999996,6.79479194
5,80,2.085,37.734,0.0999996,6.78615808
5,90,2.048,41.875,0.0999996,6.81073403
5,100,2.078,37.344,0.0999996,6.781461
5,110,2.053,40.469,0.0999996,6.80104804
5,120,2.057,41.016,0.0999996,6.77908182
5,130,2.051,40.703,0.0999996,6.790658
5,140,2.048,41.328,0.0999996,6.80387187
5,150,2.052,39.609,0.0999996,6.78488994
5,160,2.052,40.938,0.0999996,6.79225898
5,170,2.071,38.203,0.0999996,6.78364396
5,180,2.06,40.234,0.0999996,6.79678202
5,190,2.056,39.688,0.0999996,6.78554988
5,200,2.036,41.953,0.0999996,6.78567004
5,210,2.056,39.844,0.0999996,6.78664088
5,220,2.044,41.172,0.0999996,6.80461717
5,230,2.051,40.703,0.0999996,6.79682302
5,240,2.058,39.922,0.0999996,6.78615522
5,250,2.071,38.438,0.0999996,6.79905891
5,260,2.062,39.297,0.0999996,6.80201006
5,270,2.06,40.078,0.0999996,6.77388906
5,280,2.049,40.234,0.0999996,6.7716229
5,290,2.05,41.016,0.0999996,6.76370096
5,300,2.077,37.422,0.0999996,6.76630497
5,310,2.041,41.719,0.0999996,6.78335404
5,320,2.066,38.672,0.0999996,6.76128602
5,330,2.056,40.391,0.0999996,6.76582813
5,340,2.062,39.922,0.0999996,6.77203298
5,350,2.055,40.625,0.0999996,6.78963995
5,360,2.052,40.547,0.0999996,6.762079
5,370,2.074,38.906,0.0999996,6.79310799
5,380,2.074,36.953,0.0999996,6.78006697
5,390,2.046,40.703,0.0999996,6.79247904
6,10,2.044,40.625,0.0999995,7.48300481
6,20,2.049,41.641,0.0999995,6.79023194
6,30,2.034,43.438,0.0999995,6.7928412
6,40,2.036,41.797,0.0999995,6.79016113
6,50,2.062,39.531,0.0999995,6.78269911
6,60,2.049,40.391,0.0999995,6.78746295
6,70,2.047,40.625,0.0999995,6.79350805
6,80,2.046,40.938,0.0999995,6.79720688
6,90,2.044,42.344,0.0999995,6.78452086
6,100,2.051,40.625,0.0999995,6.80687308
6,110,2.04,41.875,0.0999995,6.78259802
6,120,2.032,43.281,0.0999995,6.78061795
6,130,2.054,39.766,0.0999995,6.82421517
6,140,2.043,41.719,0.0999995,6.78984809
6,150,2.074,38.438,0.0999995,6.79118896
6,160,2.058,40.234,0.0999995,6.79193306
6,170,2.041,41.094,0.0999995,6.78879094
6,180,2.049,40.156,0.0999995,6.78228784
6,190,2.04,41.484,0.0999995,6.79268909
6,200,2.037,41.797,0.0999995,6.77209878
6,210,2.029,42.422,0.0999995,6.77829885
6,220,2.049,40.234,0.0999995,6.79782295
6,230,2.029,42.656,0.0999995,6.79605389
6,240,2.031,41.562,0.0999995,6.79629087
6,250,2.029,43.281,0.0999995,6.79229379
6,260,2.016,44.922,0.0999995,6.78149605
6,270,2.026,43.828,0.0999995,6.80572891
6,280,2.041,41.875,0.0999995,6.80076098
6,290,2.031,42.969,0.0999995,6.79049301
6,300,2.013,44.297,0.0999995,6.76256299
6,310,2.04,42.188,0.0999995,6.82470798
6,320,2.029,43.516,0.0999995,6.79778314
6,330,2.03,42.5,0.0999995,6.79338717
6,340,2.025,43.594,0.0999995,6.79780412
6,350,2.043,41.328,0.0999995,6.78062105
6,360,2.035,41.719,0.0999995,6.81637096
6,370,2.037,41.953,0.0999995,6.78843498
6,380,2.017,43.594,0.0999995,6.82170391
6,390,2.03,42.812,0.0999995,6.78444505
7,10,2.025,43.594,0.0999994,7.46588802
7,20,2.016,43.984,0.0999994,6.78249311
7,30,2.014,44.922,0.0999994,6.79754305
7,40,1.997,46.719,0.0999994,6.77841306
7,50,2.028,42.578,0.0999994,6.79607391
7,60,2.023,42.734,0.0999994,6.78049588
7,70,2.023,43.516,0.0999994,6.80185914
7,80,2.03,43.359,0.0999994,6.79242516
7,90,2.036,41.328,0.0999994,6.799088
7,100,2.027,42.578,0.0999994,6.80581903
7,110,2.012,44.453,0.0999994,6.77845597
7,120,2.001,45.312,0.0999994,6.79786777
7,130,2.037,42.109,0.0999994,6.78157783
7,140,2.04,41.25,0.0999994,6.79102492
7,150,2.026,42.969,0.0999994,6.82164502
7,160,2.013,45.156,0.0999994,6.80294609
7,170,2.002,45.859,0.0999994,6.81984901
7,180,2.036,41.641,0.0999994,6.80238295
7,190,2.019,43.75,0.0999994,6.7968049
7,200,2.029,41.797,0.0999994,6.79527903
7,210,1.986,47.109,0.0999994,6.8163631
7,220,1.969,48.672,0.0999994,6.79259992
7,230,2.007,45.234,0.0999994,6.78937912
7,240,2.021,43.984,0.0999994,6.81081295
7,250,2.018,44.922,0.0999994,6.79342389
7,260,1.99,46.719,0.0999994,6.80613089
7,270,2.021,43.438,0.0999994,6.82417512
7,280,2.014,44.688,0.0999994,6.77949119
7,290,2.008,45.234,0.0999994,6.78884912
7,300,2.005,44.609,0.0999994,6.81559014
7,310,2.021,43.047,0.0999994,6.79947782
7,320,2.016,44.609,0.0999994,6.79758
7,330,1.999,46.25,0.0999994,6.79691315
7,340,1.994,47.188,0.0999994,6.82451582
7,350,2.004,45.078,0.0999994,6.81527495
7,360,1.987,47.734,0.0999994,6.79642105
7,370,1.98,48.203,0.0999994,6.80546188
7,380,2.004,45.312,0.0999994,6.7884531
7,390,2.003,45.938,0.0999994,6.78052592
8,10,1.986,47.812,0.0999993,7.47123504
8,20,2.004,45.312,0.0999993,6.79496813
8,30,2.004,45.547,0.0999993,6.80333805
8,40,2.006,45.234,0.0999993,6.81110692
8,50,1.978,48.594,0.0999993,6.79696894
8,60,2.01,44.844,0.0999993,6.78427196
8,70,1.973,48.516,0.0999993,6.78214383
8,80,1.993,46.25,0.0999993,6.81319809
8,90,1.987,47.109,0.0999993,6.81619382
8,100,2.017,43.984,0.0999993,6.8063581
8,110,1.993,47.031,0.0999993,6.7872591
8,120,2.007,45.078,0.0999993,6.819556
8,130,1.996,46.797,0.0999993,6.79148102
8,140,1.968,49.219,0.0999993,6.809793
8,150,1.982,48.359,0.0999993,6.79970598
8,160,1.998,45.859,0.0999993,6.80166292
8,170,1.967,50,0.0999993,6.80255103
8,180,1.977,48.594,0.0999993,6.82460189
8,190,1.978,47.891,0.0999993,6.80974603
8,200,1.957,50.469,0.0999993,6.81753016
8,210,1.979,47.422,0.0999993,6.810776
8,220,1.984,47.344,0.0999993,6.79749298
