epoch, iteration, loss, train-acc, lr, time 
1 ,    10 ,  2.301 ,  11.250 , 0.10000000 , 7.04566908
1 ,    20 ,  2.291 ,  13.672 , 0.10000000 , 6.77030206
1 ,    30 ,  2.269 ,  15.859 , 0.10000000 , 6.75429797
1 ,    40 ,  2.253 ,  17.969 , 0.10000000 , 6.76172709
1 ,    50 ,  2.265 ,  16.562 , 0.10000000 , 6.76125097
1 ,    60 ,  2.233 ,  20.312 , 0.10000000 , 6.75880313
1 ,    70 ,  2.248 ,  19.062 , 0.10000000 , 6.76657701
1 ,    80 ,  2.237 ,  20.000 , 0.10000000 , 6.75188398
1 ,    90 ,  2.242 ,  20.156 , 0.10000000 , 6.75364399
1 ,   100 ,  2.242 ,  20.312 , 0.10000000 , 6.77121305
1 ,   110 ,  2.221 ,  22.266 , 0.10000000 , 6.75747108
1 ,   120 ,  2.224 ,  21.953 , 0.10000000 , 6.76234508
1 ,   130 ,  2.217 ,  22.422 , 0.10000000 , 6.77034307
1 ,   140 ,  2.220 ,  22.422 , 0.10000000 , 6.78046393
1 ,   150 ,  2.220 ,  21.641 , 0.10000000 , 6.80067587
1 ,   160 ,  2.196 ,  26.094 , 0.10000000 , 6.77593803
1 ,   170 ,  2.197 ,  25.469 , 0.10000000 , 6.79650807
1 ,   180 ,  2.197 ,  25.391 , 0.10000000 , 6.79179406
1 ,   190 ,  2.205 ,  23.750 , 0.10000000 , 6.79575396
1 ,   200 ,  2.191 ,  25.312 , 0.10000000 , 6.75771213
1 ,   210 ,  2.221 ,  21.172 , 0.10000000 , 6.77913094
1 ,   220 ,  2.215 ,  23.594 , 0.10000000 , 6.78129601
1 ,   230 ,  2.229 ,  21.641 , 0.10000000 , 6.75483203
1 ,   240 ,  2.205 ,  24.609 , 0.10000000 , 6.78591394
1 ,   250 ,  2.199 ,  24.844 , 0.10000000 , 6.76954913
1 ,   260 ,  2.217 ,  23.125 , 0.10000000 , 6.78136420
1 ,   270 ,  2.198 ,  25.000 , 0.10000000 , 6.79245901
1 ,   280 ,  2.205 ,  24.453 , 0.10000000 , 6.78924894
1 ,   290 ,  2.205 ,  24.219 , 0.10000000 , 6.77923083
1 ,   300 ,  2.190 ,  25.156 , 0.10000000 , 6.80684614
1 ,   310 ,  2.207 ,  24.141 , 0.10000000 , 6.77757192
1 ,   320 ,  2.205 ,  24.453 , 0.10000000 , 6.81693316
1 ,   330 ,  2.181 ,  27.891 , 0.10000000 , 6.80788112
1 ,   340 ,  2.177 ,  27.891 , 0.10000000 , 6.78086591
1 ,   350 ,  2.199 ,  25.312 , 0.10000000 , 6.81456590
1 ,   360 ,  2.188 ,  27.031 , 0.10000000 , 6.79791498
1 ,   370 ,  2.182 ,  26.875 , 0.10000000 , 6.81050014
1 ,   380 ,  2.196 ,  26.094 , 0.10000000 , 6.80453801
1 ,   390 ,  2.206 ,  25.078 , 0.10000000 , 6.77065492
2 ,    10 ,  2.179 ,  27.969 , 0.09999990 , 7.49467397
2 ,    20 ,  2.195 ,  25.781 , 0.09999990 , 6.81349087
2 ,    30 ,  2.177 ,  27.109 , 0.09999990 , 6.78846002
2 ,    40 ,  2.187 ,  26.094 , 0.09999990 , 6.76481414
2 ,    50 ,  2.164 ,  29.062 , 0.09999990 , 6.78536487
2 ,    60 ,  2.154 ,  29.609 , 0.09999990 , 6.79020905
2 ,    70 ,  2.163 ,  28.984 , 0.09999990 , 6.80139589
2 ,    80 ,  2.171 ,  27.656 , 0.09999990 , 6.78917217
2 ,    90 ,  2.164 ,  28.828 , 0.09999990 , 6.79993892
2 ,   100 ,  2.185 ,  26.797 , 0.09999990 , 6.78198314
2 ,   110 ,  2.164 ,  28.906 , 0.09999990 , 6.80689311
2 ,   120 ,  2.157 ,  29.766 , 0.09999990 , 6.77905989
2 ,   130 ,  2.141 ,  31.484 , 0.09999990 , 6.78208494
2 ,   140 ,  2.144 ,  30.469 , 0.09999990 , 6.77179909
2 ,   150 ,  2.145 ,  30.938 , 0.09999990 , 6.77643800
2 ,   160 ,  2.153 ,  30.547 , 0.09999990 , 6.76776099
2 ,   170 ,  2.136 ,  31.484 , 0.09999990 , 6.78068995
2 ,   180 ,  2.135 ,  31.797 , 0.09999990 , 6.76694703
2 ,   190 ,  2.142 ,  31.172 , 0.09999990 , 6.77596998
2 ,   200 ,  2.163 ,  29.375 , 0.09999990 , 6.77022481
2 ,   210 ,  2.136 ,  31.562 , 0.09999990 , 6.77511787
2 ,   220 ,  2.147 ,  31.641 , 0.09999990 , 6.77468801
2 ,   230 ,  2.134 ,  32.266 , 0.09999990 , 6.77172112
2 ,   240 ,  2.147 ,  30.625 , 0.09999990 , 6.76726007
2 ,   250 ,  2.140 ,  31.406 , 0.09999990 , 6.77003908
2 ,   260 ,  2.125 ,  32.969 , 0.09999990 , 6.78511095
2 ,   270 ,  2.142 ,  31.328 , 0.09999990 , 6.76842189
2 ,   280 ,  2.157 ,  28.516 , 0.09999990 , 6.77184796
2 ,   290 ,  2.135 ,  31.094 , 0.09999990 , 6.79946303
2 ,   300 ,  2.118 ,  34.375 , 0.09999990 , 6.77811217
2 ,   310 ,  2.128 ,  31.953 , 0.09999990 , 6.77724504
2 ,   320 ,  2.136 ,  32.344 , 0.09999990 , 6.77129292
2 ,   330 ,  2.135 ,  32.422 , 0.09999990 , 6.78220105
2 ,   340 ,  2.145 ,  30.859 , 0.09999990 , 6.78159523
2 ,   350 ,  2.134 ,  31.875 , 0.09999990 , 6.76413894
2 ,   360 ,  2.121 ,  33.750 , 0.09999990 , 6.79449010
2 ,   370 ,  2.130 ,  32.344 , 0.09999990 , 6.75952601
2 ,   380 ,  2.135 ,  31.719 , 0.09999990 , 6.78560591
2 ,   390 ,  2.121 ,  33.125 , 0.09999990 , 6.76887488
